hello now
Not using broker. Connecting to sdiscovery server @ 10.0.0.1
tcp://10.0.0.1:5557
discovery_server_response b'SUBs discovered: {"3": "10.0.0.3", "2": "10.0.0.2"}'
0,14:23:48.221025
1,14:23:48.232211
2,14:23:48.245891
3,14:23:48.259652
4,14:23:48.287347
5,14:23:48.300080
6,14:23:48.310670
7,14:23:48.329707
8,14:23:48.345200
9,14:23:48.356147
10,14:23:48.366711
11,14:23:48.384439
12,14:23:48.394920
13,14:23:48.408545
14,14:23:48.419087
15,14:23:48.431967
16,14:23:48.449643
17,14:23:48.460178
18,14:23:48.474002
19,14:23:48.484971
20,14:23:48.495881
21,14:23:48.515512
22,14:23:48.531968
23,14:23:48.550721
24,14:23:48.563898
25,14:23:48.574325
26,14:23:48.586367
27,14:23:48.612928
28,14:23:48.632063
29,14:23:48.651621
30,14:23:48.664219
31,14:23:48.696473
32,14:23:48.713678
33,14:23:48.775788
34,14:23:48.818911
35,14:23:48.857245
36,14:23:49.001591
37,14:23:49.012981
38,14:23:49.028130
39,14:23:49.038734
40,14:23:49.051154
41,14:23:49.063127
42,14:23:49.075529
43,14:23:49.088017
44,14:23:49.098881
45,14:23:49.109546
46,14:23:49.120530
47,14:23:49.131751
48,14:23:49.144296
49,14:23:49.156837
50,14:23:49.170178
51,14:23:49.188533
52,14:23:49.203578
53,14:23:49.214830
54,14:23:49.226228
55,14:23:49.253032
56,14:23:49.268404
57,14:23:49.280396
58,14:23:49.291183
59,14:23:49.302476
60,14:23:49.314024
61,14:23:49.333248
62,14:23:49.345826
63,14:23:49.361663
64,14:23:49.373610
65,14:23:49.384997
66,14:23:49.396062
67,14:23:49.409677
68,14:23:49.420301
69,14:23:49.431082
70,14:23:49.442849
71,14:23:49.454343
72,14:23:49.469154
73,14:23:49.479700
74,14:23:49.490580
75,14:23:49.502988
76,14:23:49.520972
77,14:23:49.532649
78,14:23:49.543709
79,14:23:49.554604
80,14:23:49.565491
81,14:23:49.576956
82,14:23:49.587718
83,14:23:49.598609
84,14:23:49.609449
85,14:23:49.620004
86,14:23:49.632607
87,14:23:49.644074
88,14:23:49.655198
89,14:23:49.677718
90,14:23:49.689015
91,14:23:49.699872
92,14:23:49.711234
93,14:23:49.722482
94,14:23:49.733095
95,14:23:49.745090
96,14:23:49.755759
97,14:23:49.766609
98,14:23:49.777713
99,14:23:49.788267
100,14:23:49.799110
101,14:23:49.812655
102,14:23:49.823225
103,14:23:49.835374
104,14:23:49.847836
105,14:23:49.868371
106,14:23:49.879454
107,14:23:49.891020
108,14:23:49.902593
109,14:23:49.913235
110,14:23:49.923786
111,14:23:49.934842
112,14:23:49.946787
113,14:23:49.957361
114,14:23:49.968486
115,14:23:49.979505
116,14:23:49.990423
117,14:23:50.001068
118,14:23:50.011629
119,14:23:50.023275
120,14:23:50.034311
121,14:23:50.045005
122,14:23:50.056304
123,14:23:50.066617
124,14:23:50.077011
125,14:23:50.087815
126,14:23:50.098567
127,14:23:50.110467
128,14:23:50.121607
129,14:23:50.132891
130,14:23:50.143632
131,14:23:50.157646
132,14:23:50.188882
133,14:23:50.200568
134,14:23:50.211647
135,14:23:50.237247
136,14:23:50.247943
137,14:23:50.259909
138,14:23:50.270756
139,14:23:50.282249
140,14:23:50.293617
141,14:23:50.304582
142,14:23:50.316708
143,14:23:50.328516
144,14:23:50.354298
145,14:23:50.366175
146,14:23:50.381709
147,14:23:50.394875
148,14:23:50.410273
149,14:23:50.421006
150,14:23:50.431760
151,14:23:50.442966
152,14:23:50.454408
153,14:23:50.464727
154,14:23:50.475516
155,14:23:50.486217
156,14:23:50.496980
157,14:23:50.508069
158,14:23:50.518509
159,14:23:50.529220
160,14:23:50.540348
161,14:23:50.551992
162,14:23:50.564863
163,14:23:50.575927
164,14:23:50.590170
165,14:23:50.605178
166,14:23:50.618154
167,14:23:50.636597
168,14:23:50.648628
169,14:23:50.659209
170,14:23:50.671823
171,14:23:50.682427
172,14:23:50.693602
173,14:23:50.704441
174,14:23:50.724851
175,14:23:50.736270
176,14:23:50.747030
177,14:23:50.758293
178,14:23:50.768916
179,14:23:50.779325
180,14:23:50.791977
181,14:23:50.804295
182,14:23:50.824104
183,14:23:50.835066
184,14:23:50.848184
185,14:23:50.860299
186,14:23:50.870822
187,14:23:50.894130
188,14:23:50.904497
189,14:23:50.915086
190,14:23:50.926607
191,14:23:50.937439
